"study","section","config","n","baseline_f1","refinement_f1","guardrag_f1","baseline_em","refinement_em","guardrag_em","baseline_halluc","refinement_halluc","guardrag_halluc","baseline_tokens","refinement_tokens","guardrag_tokens","baseline_latency_s","refinement_latency_s","guardrag_latency_s","debate_rate","delta_f1_vs_baseline","delta_f1_pct_vs_baseline","delta_f1_vs_refinement","delta_f1_pct_vs_refinement","notes"
"main_results","1_main_results","Baseline RAG (T1)","300","0.561","","","0.507","","","0.728","","","1102","","","0.877","","","","","","","","Zero-shot single GPT-4o-mini call; no validation"
"main_results","1_main_results","Refinement RAG (T2)","300","","0.593","","","0.539","","","0.733","","","2395","","","2.339","","","+0.032","+5.7%","","","Formula-error verification; 2.2x cost over T1"
"main_results","1_main_results","GUARD-RAG (T3)","300","","","0.629","","","0.576","","","0.71","","","6101","","","5.63","0.521","+0.068","+12.1%","+0.036","+5.9%","Gatekeeper + selective debate + PoT; 5.5x cost; LOWEST hallucination of all 3 tiers"
"scaling","2_scaling","Baseline @ n=150","150","0.597","","","0.533","","","0.733","","","","","","","","","","","","","","Easier sample; n=150 subset oversamples straightforward questions"
"scaling","2_scaling","Refinement @ n=150","150","","0.603","","","0.54","","","0.733","","","","","","","","","+0.006","+1.0%","","","Very small gain at n=150; formula errors less frequent on easy subset"
"scaling","2_scaling","GUARD-RAG @ n=150","150","","","0.624","","","0.56","","","0.713","","","","","","","","+0.027","+4.5%","+0.021","+3.5%","GUARD-RAG gap = +2.7 F1 pts at n=150"
"scaling","2_scaling","Baseline @ n=300","300","0.561","","","0.507","","","0.728","","","","","","","","","","","","","","Harder questions added; Baseline drops -0.036 from n=150"
"scaling","2_scaling","Refinement @ n=300","300","","0.593","","","0.539","","","0.733","","","","","","","","","+0.032","+5.7%","","","Refinement gain grows as more formula-error Qs added"
"scaling","2_scaling","GUARD-RAG @ n=300","300","","","0.629","","","0.576","","","0.71","","","","","","","","+0.068","+12.1%","+0.036","+5.9%","GUARD-RAG gap grows to +6.8 F1 pts — advantage NEARLY TRIPLES at scale"
"type_breakdown","3_type_breakdown","Arithmetic questions","52","0.538","0.558","0.609","","","","","","","","","","","","","","+0.071","+13.2%","+0.051","+9.1%","Largest gains; PoT+debate anchored to verifiable numeric ground truth"
"type_breakdown","3_type_breakdown","Text / Span questions","98","0.628","0.628","0.633","","","","","","","","","","","","","","+0.005","+0.8%","+0.005","+0.8%","Near-flat by design; debate bypassed (Skeptic over-challenges correct spans)"
"type_breakdown","3_type_breakdown","All questions (n=150 annotated)","150","0.597","0.603","0.624","","","","","","","","","","","","","","+0.027","+4.5%","+0.021","+3.5%","Weighted average of arithmetic + span (52+98=150)"
"hallucination","4_hallucination","Baseline RAG","300","","","","","","","0.728","","","","","","","","","","","","","","Hallucination rate = fraction of answer sentences not NLI-entailed by retrieved context"
"hallucination","4_hallucination","Refinement RAG","300","","","","","","","","0.733","","","","","","","","","+0.005","worse","","","INCREASES hallucination: verification elaborates answers generating more non-entailed sentences"
"hallucination","4_hallucination","GUARD-RAG","300","","","","","","","","","0.71","","","","","","","","-0.018","better","-0.023","better","DECREASES hallucination despite 5.5x more tokens; Grounder citation + adjudicator penalises unsupported claims"
"debate_stats","5_debate_stats","Debate trigger rate","300","","","","","","","","","","","","","","","","0.521","","","","","52.1% of questions enter debate; gatekeeper score >= 0.35"
"debate_stats","5_debate_stats","Bypassed (no debate)","300","","","","","","","","","","","","","","","","0.479","","","","","47.9% return T2 answer at zero extra debate cost"
"debate_stats","5_debate_stats","Avg gatekeeper score (triggered only)","300","","","","","","","","","","","","","","","","","","","","","Mean score = 0.683 among 52.1% triggered questions (threshold = 0.35)"
"debate_stats","5_debate_stats","APPROVE verdict","300","","","","","","","","","","","","","","","","0.498","","","","","49.8% of ALL samples; GPT-4o draft confirmed correct by debate"
"debate_stats","5_debate_stats","REVISE verdict","300","","","","","","","","","","","","","","","","0.023","","","","","2.3% of ALL samples; debate corrected a verifiable error; high-precision"
"debate_stats","5_debate_stats","ABSTAIN verdict","300","","","","","","","","","","","","","","","","0.0","","","","","0.0% — GUARD-RAG always produces a substantive answer"
"debate_stats","5_debate_stats","Iterative 2nd-round debate","300","","","","","","","","","","","","","","","","0.023","","","","","Same 2.3% REVISE cases get a second debate round for harder corrections"
"cost_efficiency","6_cost","Baseline RAG","300","","","","","","","","","","1102","","","0.877","","","","","","","","1x cost; 1 GPT-4o-mini call per question"
"cost_efficiency","6_cost","Refinement RAG","300","","","","","","","","","","","2395","","","2.339","","","","","","","2.2x tokens vs T1; adds 1 GPT-4o-mini verification call"
"cost_efficiency","6_cost","GUARD-RAG (avg over all questions)","300","","","","","","","","","","","","6101","","","5.63","0.521","","","","","5.5x tokens vs T1; 3-5 extra GPT-4o calls on triggered 52.1%"
"cost_efficiency","6_cost","GUARD-RAG (bypassed questions only)","143","","","","","","","","","","","","","","","","","","","","","47.9% pay only T1+T2+gatekeeper cost; ~same as Refinement"
"cost_efficiency","6_cost","GUARD-RAG vs always-GPT-4o","300","","","","","","","","","","","","","","","","","","","","","Est 30-40% cheaper than routing all Qs through GPT-4o; 47.9% use mini-only path"
"component_ablation","7_component_ablation","Full GUARD-RAG","150","","","0.624","","","","","","","","","","","","","","0.000","0.0%","","","Reference; all components active"
